договор	ТУ	район	наименование	Сеть
0403	204030002	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 72 секция 2 > РУ-0,4 кВ > ф. "Коммуны 9" > Коммуны 9
0403	204030003	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Коммуны 13, 9, 11" > Коммуны 11
0403	204030004	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "РП-1 ввод А" > РП - 1 секц. 1 > ЛЭП-6 кВ "ТП - 153, ТП - 111" > ТП - 111 > РУ-0,4 кВ > ф. "Нагаевская 53" > Нагаевская 53
0403	204030005	МЭС - район реализации 1	Магазин 	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 72 секция 2 > РУ-0,4 кВ > ф. "Коммуны 9" > Коммуны 9
0403	204030006	МЭС - район реализации 1	э/э при СОИД 1р-н Коммуны 11	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Коммуны 13, 9, 11" > Коммуны 11
0403	204030007	МЭС - район реализации 1	э/э при СОИД 1 р-н Билибина 2	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 69 > РУ-0,4 кВ > ф. "Билибина 2, Комсомол 2" > Билибина 2
0403	204030008	МЭС - район реализации 1	э/э при СОИД 1 р-н Нагаевская 53	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "РП-1 ввод А" > РП - 1 секц. 1 > ЛЭП-6 кВ "ТП - 153, ТП - 111" > ТП - 111 > РУ-0,4 кВ > ф. "Нагаевская 53" > Нагаевская 53
0403	204030009	МЭС - район реализации 1	э/э при СОИД 1 р-н Коммуны 9	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 72 секция 2 > РУ-0,4 кВ > ф. "Коммуны 9" > Коммуны 9
0403	204030010	МЭС - район реализации 1	э/э при СОИД 1 р-н Коммуны 9 магазин	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-109" > ТП - 72 секция 2 > РУ-0,4 кВ > ф. "Коммуны 9" > Коммуны 9
0403	204030011	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 69 > РУ-0,4 кВ > ф. "Билибина 2, Комсомол 2" > Билибина 2
0403	204030012	МЭС - район реализации 1	э/э на СОИД 1р-н ул.Билибина 2	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 69 > РУ-0,4 кВ > ф. "Билибина 2, Комсомол 2" > Билибина 2
0403	204030013	МЭС - район реализации 1	Магазин	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-14" > ТП - 114 > РУ-0,4 кВ > ф. "Полярная 21" > Полярная 21
0403	204030014	МЭС - район реализации 1	э/э на СОИД 1р-н ул.Полярная 21	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-14" > ТП - 114 > РУ-0,4 кВ > ф. "Полярная 21" > Полярная 21
1	200010001	МЭС - район реализации 1	Служебная квартира	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-302" > ТП - 302 > РУ-0,4 кВ > ф. "Берзина 5А" > Берзина 5-а
1	200010002	МЭС - район реализации 1	э/э при СОИД 1р-н Берзина 5-а кв.24	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-302" > ТП - 302 > РУ-0,4 кВ > ф. "Берзина 5А" > Берзина 5-а
1	200010003	МЭС - район реализации 1	э/э при СОИД 1р-н Колымское шоссе,4/1,кв.25	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 314 > РУ-0,4 кВ > ф. "Колымское ш. 4/1 каб. А" > Колымское шоссе 4 корп 1
1	200010004	МЭС - район реализации 1	Служебная квартира	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 314 > РУ-0,4 кВ > ф. "Колымское ш. 4/1 каб. А" > Колымское шоссе 4 корп 1
1	200010005	МЭС - район реализации 1	Служебная квартира	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "Дзержинского 21" > Дзержинского 21
1	200010006	МЭС - район реализации 1	э/э при СОИД 1р-н ул.Дзержинского,21,кв.52	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 12 > РУ-0,4 кВ > ф. "Дзержинского 21" > Дзержинского 21
1	200010020	МЭС - район реализации 1	Кислородная станция	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-8" > ТП - 517 > РУ-0,4 кВ
1	200010047	МЭС - район реализации 1	ТП-7 ввод 1	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6 кВ "АРЗ-1" > ТП- ММЗ
1	200010048	МЭС - район реализации 1	ТП-7 ввод 2	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6 кВ "АРЗ-1" > ТП- ММЗ
1000	210000001	МЭС - район реализации 1	Водно-оздоровительный комплекс	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-7" > ТП - 4 > РУ-0,4 кВ
1001	210013001	МЭС - район реализации 1	ОДН прев.норм ЯКУТСКАЯ ДОМ 54	ЮЭС > ПС 35/6 "НАГАЕВСКАЯ" > ЛЭП-6 кВ «ТП –190» > ТП - 221 > РУ-0,4 кВ > ф. "Якутская 54" > Якутская 54
1001	210014001	МЭС - район реализации 1	э/э при СОИД ЯКУТСКАЯ ДОМ 54	ЮЭС > ПС 35/6 "НАГАЕВСКАЯ" > ЛЭП-6 кВ «ТП –190» > ТП - 221 > РУ-0,4 кВ > ф. "Якутская 54" > Якутская 54
1001	210015001	МЭС - район реализации 1	уступ.долга э/э при СОИД ЯКУТСКАЯ ДОМ 54	ЮЭС > ПС 35/6 "НАГАЕВСКАЯ" > ЛЭП-6 кВ «ТП –190» > ТП - 221 > РУ-0,4 кВ > ф. "Якутская 54" > Якутская 54
1001	210015002	МЭС - район реализации 1	уступ.долга э/э при СОИД (ю/л) ЯКУТСКАЯ ДОМ 54	ЮЭС > ПС 35/6 "НАГАЕВСКАЯ" > ЛЭП-6 кВ «ТП –190» > ТП - 221 > РУ-0,4 кВ > ф. "Якутская 54" > Якутская 54
1007	210070001	МЭС - район реализации 1	отк.05.2004г.Сапож.мастер-ая	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 69 > РУ-0,4 кВ > ф. "Билибина 6, 6А" > Билибина 6
1008	210080001	МЭС - район реализации 1	др.аб. 549 Магазин	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 315 > РУ-0,4 кВ > ф. "Колымское ш. 6 ввод 1" > Колымское шоссе 6
1008	210080003	МЭС - район реализации 1	др.аб. 549 э/э при СОИД 1р-н Колымское 6	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 315 > РУ-0,4 кВ > ф. "Колымское ш. 6 ввод 1" > Колымское шоссе 6
1009	210090001	МЭС - район реализации 1	Нежилое помещение	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-314" > ТП - 19 > РУ-0,4 кВ
1020	210200001	МЭС - район реализации 1	Очистные сооружения	ЮЭС > ПС 35/6 "КПД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП - 134" > ТП - 134 > РУ-0,4 кВ
1022	210220004	МЭС - район реализации 1	Магазаин промышленных товаров	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Билибина 5" > Билибина 5
1022	210220007	МЭС - район реализации 1	э/э при СОИД 1р-н ул.Билибина 5	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-12" > ТП - 15 > РУ-0,4 кВ > ф. "Билибина 5" > Билибина 5
1023	210230004	МЭС - район реализации 1	Др.аб.3304 М-н "Форвард" (кабель А)	ЮЭС > ПС 35/6 "АВТОТЭК" > ЛЭП-6кВ "ТП-302" > ТП - 303 > РУ-0,4 кВ > ф. "Колымское ш 9 п.2" > Колымское шоссе 9 
