договор	ТУ	район	наименование	Сеть
1190	211900002	МЭС - район реализации 2	э/э при СОИД 2р-н К.Маркса 67	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод А" > РП - 6 секц. 1 > ЛЭП-6 кВ "ТП - 163" > ТП - 264 > РУ-0,4 кВ > ф. "К. Маркса 67 п.3 каб. А" > К. Маркса 67
1191	211910002	МЭС - район реализации 2	Магазин "Мотор"	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-615 ввод Б" > ТП - 30 > РУ-0,4 кВ
1191	211910003	МЭС - район реализации 2	ОДН 2р-н ул.Пролетарская 21а	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-615 ввод Б" > ТП - 30 > РУ-0,4 кВ
1194	211940001	МЭС - район реализации 2	Др.аб.1304 Магазин "Ямский" откл 15.03.17	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-280" > ТП - 283 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 71/3 п.3" > Наб. р. Магаданки 71 корп 3
1194	211940004	МЭС - район реализации 2	Др.аб.1304 ОДН 2р-н ул.Н.р.Магаданки 71/3	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-280" > ТП - 283 > РУ-0,4 кВ
1195	211950001	МЭС - район реализации 2	э/э при СОИД 2р-н ул.Пролетарская 18	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "РП-5 ввод А" > РП - 5 секц. 1 > ЛЭП-6 кВ "ТП - 74" > ТП - 39 > РУ-0,4 кВ > ф. "Пролетарская 18" > Пролетарская 18
1195	211950009	МЭС - район реализации 2	Нежилое помещение Пролетарская 18 (Евросеть)	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "РП-5 ввод А" > РП - 5 секц. 1 > ЛЭП-6 кВ "ТП - 74" > ТП - 39 > РУ-0,4 кВ > ф. "Пролетарская 18" > Пролетарская 18
1195	211950012	МЭС - район реализации 2	Торговый центр	ЮЭС > ПС 35/6 "МЯСОКОМБИНАТ" > Т1 > СШ-1 > ЛЭП-6кВ "ТП - 572" (Колбасная) > ТП - 572 > РУ-0,4 кВ
1195	211950013	МЭС - район реализации 2	Магазин 	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 281 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 53 каб. А" > Набережная реки Магаданки 53
1195	211950014	МЭС - район реализации 2	Магазин	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 281 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 53 каб. А" > Набережная реки Магаданки 53
1195	211950034	МЭС - район реализации 2	Магазин "Метелица"	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 9 > РУ-0,4 кВ
1195	211950040	МЭС - район реализации 2	э/э при СОИД 2р-н ул.Наб.р.Магаданки,65/1,кв.64	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 282 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 65/1 п.2" > Набережная реки Магаданки 65 корп. 1
1195	211950041	МЭС - район реализации 2	ОДН 2р-н ул.Набер р/Маг,65/1 магаз	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 282 > РУ-0,4 кВ
1195	211950042	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 282 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 65/1 п.2" > Набережная реки Магаданки 65 корп. 1
1195	211950043	МЭС - район реализации 2	Нежилое помещение 	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 282 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 65/1 п.2" > Набережная реки Магаданки 65 корп. 1
1195	211950048	МЭС - район реализации 2	Супермаркет	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 1 > РУ-0,4 кВ > ф. "Супермаркет каб. А" > Супермаркет
1195	211950049	МЭС - район реализации 2	Супермаркет	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 1 > РУ-0,4 кВ > ф. "Супермаркет каб. А" > Супермаркет
1195	211950054	МЭС - район реализации 2	Магазин Пролетарская 18 (Интерпол)	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "РП-5 ввод А" > РП - 5 секц. 1 > ЛЭП-6 кВ "ТП - 74" > ТП - 39 > РУ-0,4 кВ > ф. "Пролетарская 18" > Пролетарская 18
1195	211950055	МЭС - район реализации 2	э/э при СОИД 2р-н Пролетарская 18	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "РП-5 ввод А" > РП - 5 секц. 1 > ЛЭП-6 кВ "ТП - 74" > ТП - 39 > РУ-0,4 кВ > ф. "Пролетарская 18" > Пролетарская 18
1195	211950058	МЭС - район реализации 2	Объект общественного питания	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 51 > РУ-0,4 кВ > ф. "Кафе Парковая"
12	200120001	МЭС - район реализации 2	Стоматологическая поликлиника "ПрезиДЕНТ-люкс"	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 1 > РУ-0,4 кВ > ф. "Дантист"
12	200120003	МЭС - район реализации 2	Многофункциональный центр, кабель "А"	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-200 ввод Б" > ТП - 200 > РУ-0,4 кВ
12	200120004	МЭС - район реализации 2	Многофункциональный центр, кабель "Б"	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-200 ввод Б" > ТП - 200 > РУ-0,4 кВ
12	200120005	МЭС - район реализации 2	Многофункциональный центр, кабель "В"	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-200 ввод Б" > ТП - 200 > РУ-0,4 кВ
12	200120006	МЭС - район реализации 2	Многофункциональный центр, кабель "Г"	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-200 ввод Б" > ТП - 200 > РУ-0,4 кВ
120	201200006	МЭС - район реализации 2	Административные помещения	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 196 > РУ-0,4 кВ > ф. "Горького 19А" > Горького 19А
120	201200007	МЭС - район реализации 2	э/э при СОИД 2 р-н ул.Горького 19-а	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 196 > РУ-0,4 кВ > ф. "Горького 19А" > Горького 19А
1200	212000001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-18" > ТП - 18 > РУ-0,4 кВ
1200	212000002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-18" > ТП - 18 > РУ-0,4 кВ
1200	212000003	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-18" > ТП - 18 > РУ-0,4 кВ
1204	212040000	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 1 > РУ-0,4 кВ
1205	212050009	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-280" > ТП - 280 > РУ-0,4 кВ > ф. "Пролетарская 61/5 п.2" > Пролетарская 61 корп 5
1205	212050010	МЭС - район реализации 2	э/э при СОИД 2 р-н Пролетарская 61/5	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-280" > ТП - 280 > РУ-0,4 кВ > ф. "Пролетарская 61/5 п.2" > Пролетарская 61 корп 5
1205	212050011	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод А" > РП - 6 секц. 1 > ЛЭП-6 кВ "ТП - 170" > ТП - 170 > РУ-0,4 кВ > ф. "Пролетарская 70, 72, 74" > Пролетарская 74
1205	212050012	МЭС - район реализации 2	э/э при СОИД 2 р-н Пролетарская 74	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод А" > РП - 6 секц. 1 > ЛЭП-6 кВ "ТП - 170" > ТП - 170 > РУ-0,4 кВ > ф. "Пролетарская 70, 72, 74" > Пролетарская 74
1209	212090001	МЭС - район реализации 2	Мебельный салон	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 263 > РУ-0,4 кВ > ф. "Пролетарксая 44 п.2" > Пролетарская 44
1209	212090003	МЭС - район реализации 2	э/э при СОИД 2р-н ул.Пролетарская 44 мебельный салон	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 263 > РУ-0,4 кВ > ф. "Пролетарксая 44 п.2" > Пролетарская 44
1209	212090004	МЭС - район реализации 2	Ликвидирован (Павильон "Хот-Дог Лайк)	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 1 > РУ-0,4 кВ
1209	212090006	МЭС - район реализации 2	Кафе	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 1 > РУ-0,4 кВ > ф. "Кафе "Профсоюзов"
1209	212090007	МЭС - район реализации 2	Кафе	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 1 > РУ-0,4 кВ > ф. "Кафе "Профсоюзов"
1209	212090010	МЭС - район реализации 2	Строительство магазина	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-615 ввод Б" > ТП - 30 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 12 п.1 каб. А" > Наб. р. Магаданки 12
1211	212110000	МЭС - район реализации 2	магазин"Огонек"	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 26 > РУ-0,4 кВ > ф. "К. Маркса 54" > К. Маркса 54
1211	212110006	МЭС - район реализации 2	э/э при СОИД 2р-н ул.К.Маркса 54 м-н Огонек	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 26 > РУ-0,4 кВ > ф. "К. Маркса 54" > К. Маркса 54
1216	212160004	МЭС - район реализации 2	2-х этажное здание млкорозничной торговли с административными помещениями	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 149 > РУ-0,4 кВ
1219	212190001	МЭС - район реализации 2	Магазин "Верона"	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 28 > РУ-0,4 кВ > ф. "Пролетарская 30 п.4" > Пролетарская 30
1219	212190002	МЭС - район реализации 2	э/э при СОИД 1р-н Пролетарская 30	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 28 > РУ-0,4 кВ > ф. "Пролетарская 30 п.4" > Пролетарская 30
1224	212240001	МЭС - район реализации 2	Некапитальное строение для проката спортивного инвентаря	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-615 ввод Б" > ТП - 30 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 12 п.1 каб. А" > Наб. р. Магаданки 12
1229	212290004	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 195 > РУ-0,4 кВ > ф. "Горького 3"
1229	212290005	МЭС - район реализации 2	э/э при СОИД 2 р-н Горького 3	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 195 > РУ-0,4 кВ > ф. "Горького 3"
123	201230004	МЭС - район реализации 2	Центр проф. подготовки УМВД	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП - 199" > ТП - 159 секция 2 > РУ-0,4 кВ > ф. "Учебн. пункт УВД"
123	201230014	МЭС - район реализации 2	Административные помещения	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП - 199" > ТП - 159 секция 2 > РУ-0,4 кВ > ф. "Учебн. пункт УВД"
123	201230016	МЭС - район реализации 2	Административное здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "РП-5 ввод А" > РП - 5 секц. 1 > ЛЭП-6 кВ "ТП - 74" > ТП - 74 > РУ-0,4 кВ
123	201230024	МЭС - район реализации 2	Др.аб.849 Административное здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-18" > ТП - 18 > РУ-0,4 кВ
123	201230025	МЭС - район реализации 2	Др.аб.849 Административное здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-18" > ТП - 18 > РУ-0,4 кВ
123	201230048	МЭС - район реализации 2	Административное здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП - 199" > ТП - 159 секция 2 > РУ-0,4 кВ > ф. "Учебн. пункт УВД"
123	201230049	МЭС - район реализации 2	Административное помещение	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП - 199" > ТП - 159 секция 2 > РУ-0,4 кВ > ф. "Учебн. пункт УВД"
123	201230050	МЭС - район реализации 2	Серверная	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП - 199" > ТП - 159 секция 2 > РУ-0,4 кВ > ф. "Учебн. пункт УВД"
123	201230056	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 9 > РУ-0,4 кВ
123	201230062	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 9 > РУ-0,4 кВ
1231	212310001	МЭС - район реализации 2	откл.13.08.14г. Автостоянка "Кипр"	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 284 > РУ-0,4 кВ > ф. "Наб. р. Магаданки 69 каб. А" > Набережная реки Магаданки 69
1237	212370008	МЭС - район реализации 2	Нежилое помещение (магазин "Хозяюшка")	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод А" > РП - 6 секц. 1 > ЛЭП-6 кВ "ТП - 170" > ТП - 170 > РУ-0,4 кВ > ф. "Общежитие Горбытком-та каб. А" > Пролетарская 78
1237	212370009	МЭС - район реализации 2	э/э при СОИД 2р-н Пролетарская 78	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод А" > РП - 6 секц. 1 > ЛЭП-6 кВ "ТП - 170" > ТП - 170 > РУ-0,4 кВ > ф. "Общежитие Горбытком-та каб. А" > Пролетарская 78
1237	212370012	МЭС - район реализации 2	Здание магазина("Остин")	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-602 ввод А" > ТП - 346 > РУ-0,4 кВ > ф." ООО "КОН" неж. пом. каб. А" > "Остин"
1239	212390001	МЭС - район реализации 2	Ювелирная мастерская	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 149 > РУ-0,4 кВ > ф. "Якутская 14 каб. А" > Якутская 14
1239	212390002	МЭС - район реализации 2	э/э при СОИД 2р-н ул.Якутская 14	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 149 > РУ-0,4 кВ > ф. "Якутская 14 каб. А" > Якутская 14
1243	212430001	МЭС - район реализации 2	Солярий(часть цоколь.этажа)	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 9 > РУ-0,4 кВ > ф. "Парковая 11А каб. А" > Парковая 11А
1243	212430002	МЭС - район реализации 2	э/э при СОИД 2р-н Парковая 11-а	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 9 > РУ-0,4 кВ > ф. "Парковая 11А каб. А" > Парковая 11А
1244	212440001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 47 > РУ-0,4 кВ > ф. "Музыкальное училище каб. А" > Музыкальная школа
1244	212440002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 47 > РУ-0,4 кВ > ф. "Музыкальное училище каб. А" > Музыкальная школа
1247	212470002	МЭС - район реализации 2	Др.аб.3337 откл.03.08.18г.Магазин "Жемчужина"	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП - 199" > ТП - 37 > РУ-0,4 кВ > ф. "Ленина 5" > Ленина 5
1252	212520001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 284 > РУ-0,4 кВ > ф. "Детсад №13 каб. А" > Детсад №13
1252	212520002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 284 > РУ-0,4 кВ > ф. "Детсад №13 каб. А" > Детсад №13
1252	212520003	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 284 > РУ-0,4 кВ > ф. "Детсад №13 каб. А" > Детсад №13
1252	212520004	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 284 > РУ-0,4 кВ > ф. "Детсад №13 каб. А" > Детсад №13
1254	212540001	МЭС - район реализации 2	Магазин-кулинария	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 2 > РУ-0,4 кВ > ф. "К. Маркса 43" > К. Маркса 43
1254	212540002	МЭС - район реализации 2	э/э при СОИД 2р-н ул.К.Маркса 43 магазин-кулинария	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 2 > РУ-0,4 кВ > ф. "К. Маркса 43" > К. Маркса 43
1255	212550001	МЭС - район реализации 2	Магазин "Магистр"	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 28 > РУ-0,4 кВ > ф. "Пролетарская 30 п.4" > Пролетарская 30
1255	212550002	МЭС - район реализации 2	э/э при СОИД 2р-н Пролетарская 30	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 28 > РУ-0,4 кВ > ф. "Пролетарская 30 п.4" > Пролетарская 30
1256	212560001	МЭС - район реализации 2	Офис	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 196 > РУ-0,4 кВ > ф. "Якутская 10 п.4" > Якутская 10
1256	212560003	МЭС - район реализации 2	э/э при СОИД 2р-н ул.Якутская 10	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-28" > ТП - 196 > РУ-0,4 кВ > ф. "Якутская 10 п.4" > Якутская 10
126	201260001	МЭС - район реализации 2	ТЦ "Осенний вальс"	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 47 > РУ-0,4 кВ > ф. "Парковая 21 каб. А" > Парковая 21
126	201260002	МЭС - район реализации 2	Нежилое помещение	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 47 > РУ-0,4 кВ
126	201260003	МЭС - район реализации 2	э/э при СОИД 2р-н Парковая 21	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 47 > РУ-0,4 кВ > ф. "Парковая 21 каб. А" > Парковая 21
1262	212620001	МЭС - район реализации 2	Др.аб.3464 Офис	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 263 > РУ-0,4 кВ > ф. "Якутская 3 каб. А" > Якутская 5
1262	212620002	МЭС - район реализации 2	Др.аб.3464 э/э при СОИД 2р-н Якутская 5	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 263 > РУ-0,4 кВ > ф. "Якутская 3 каб. А" > Якутская 5
1264	212640003	МЭС - район реализации 2	Административное здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т2 > СШ-2 > ЛЭП-6кВ "ТП-615 ввод Б" > ТП - 30 > РУ-0,4 кВ
1269	212690001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 47 > РУ-0,4 кВ > ф. "Детсад №38 Столовая" > Детсад №38
1269	212690003	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод Б" > РП - 6 секц. 2 > ЛЭП-6 кВ "ТП - 263" > ТП - 47 > РУ-0,4 кВ > ф. "Детсад №38 Столовая" > Детсад №38
1276	212760002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "РП-5 ввод А" > РП - 5 секц. 1 > ЛЭП-6 кВ "ТП - 74" > ТП - 74 > РУ-0,4 кВ > ф. "Детсад №50 каб. А" > Детсад №50
1276	212760003	МЭС - район реализации 2	Здание н/в контрольный	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "РП-5 ввод А" > РП - 5 секц. 1 > ЛЭП-6 кВ "ТП - 74" > ТП - 74 > РУ-0,4 кВ > ф. "Детсад №50 каб. А" > Детсад №50
128	201280001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-5" (Пролетарский) > ТП - 3 > РУ-0,4 кВ > ф. "Парковая 6 каб. А" > Вечерняя школа
128	201280002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-5" (Пролетарский) > ТП - 3 > РУ-0,4 кВ > ф. "Парковая 6 каб. А" > Вечерняя школа
128	201280003	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-5" (Пролетарский) > ТП - 3 > РУ-0,4 кВ > ф. "Парковая 6 каб. А" > Вечерняя школа
1281	212810001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод А" > РП - 6 секц. 1 > ЛЭП-6 кВ "ТП - 163" > ТП - 264 > РУ-0,4 кВ > ф. "Столовая школы №18" > СОУ СОШ №18
1281	212810002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "РП-6 ввод А" > РП - 6 секц. 1 > ЛЭП-6 кВ "ТП - 163" > ТП - 264 > РУ-0,4 кВ > ф. "Столовая школы №18" > СОУ СОШ №18
1283	212830001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 2 > РУ-0,4 кВ > ф. "Детсад каб. А" > Детсад №46
1283	212830002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 2 > РУ-0,4 кВ > ф. "Детсад каб. А" > Детсад №46
1283	212830003	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ДЭС" > ЛЭП-6кВ "ТП-1" > ТП - 2 > РУ-0,4 кВ > ф. "Детсад каб. А" > Детсад №46
1285	212850001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 281 > РУ-0,4 кВ > ф. "Детсад №15 каб. А" > Детсад №15
1285	212850002	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 281 > РУ-0,4 кВ > ф. "Детсад №15 каб. А" > Детсад №15
1285	212850003	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПРОМКОМБИНАТ" > ЛЭП-6кВ "ТП-281" > ТП - 281 > РУ-0,4 кВ > ф. "Детсад №15 каб. А" > Детсад №15
1286	212860001	МЭС - район реализации 2	Здание	ЮЭС > ПС 35/6 "ПИВЗАВОД" > Т1 > СШ-1 > ЛЭП-6кВ "ТП-9" > ТП - 149 > РУ-0,4 кВ > ф. "Детсад каб. А" > Детсад №44
